Dia;Tratamento;Repeticao;Comprimento;Numero_neonatos;Numero_ovos;Numero_ovos_somados;;;
8;0,025;R3;0,7;0;0;15;;;
0;0,025;R4;0,34;0;0;0;;;
1;0,025;R4;0,4;0;0;0;;;
2;0,025;R4;0,52;0;0;0;;;
3;0,025;R4;0,6;0;2;2;;;
4;0,025;R4;0,6;0;0;2;;;
5;0,025;R4;0,6;0;5;7;;;
6;0,025;R4;0,66;0;0;7;;;
7;0,025;R4;0,7;0;5;12;;;
8;0,025;R4;0,7;0;0;12;;;
0;0,025;R5;0,34;0;0;0;;;
1;0,025;R5;0,4;0;0;0;;;
2;0,025;R5;0,51;0;0;0;;;
3;0,025;R5;0,57;0;2;2;;;
4;0,025;R5;0,57;0;0;2;;;
5;0,025;R5;0,63;0;5;7;;;
6;0,025;R5;0,63;0;0;7;;;
7;0,025;R5;0,73;0;6;13;;;
8;0,025;R5;0,73;0;0;13;;;
0;0,025;R6;0,34;0;0;0;;;
1;0,025;R6;0,43;0;0;0;;;
2;0,025;R6;0,51;3;0;0;;;
3;0,025;R6;0,61;0;3;3;;;
4;0,025;R6;0,61;0;0;3;;;
5;0,025;R6;0,63;2;4;7;;;
6;0,025;R6;0,66;1;0;7;;;
7;0,025;R6;0,73;3;5;12;;;
8;0,025;R6;0,75;2;0;12;;;
0;0,025;R7;0,36;2;0;0;;;
1;0,025;R7;0,42;2;0;0;;;
2;0,025;R7;0,52;3;0;0;;;
3;0,025;R7;0,6;0;3;3;;;
4;0,025;R7;0,61;0;0;3;;;
5;0,025;R7;0,67;2;4;7;;;
6;0,025;R7;0,66;0;0;7;;;
7;0,025;R7;0,72;0;7;14;;;
8;0,025;R7;0,72;0;0;14;;;
0;0,025;R8;0,37;0;0;0;;;
1;0,025;R8;0,45;0;0;0;;;
2;0,025;R8;0,49;0;0;0;;;
3;0,025;R8;0,58;0;3;3;;;
4;0,025;R8;0,61;5;0;3;;;
5;0,025;R8;0,66;0;6;9;;;
6;0,025;R8;0,64;0;0;9;;;
7;0,025;R8;0,66;0;3;12;;;
8;0,025;R8;0,73;1;0;12;;;
0;0,025;R9;0,34;5;0;0;;;
1;0,025;R9;0,42;5;0;0;;;
2;0,025;R9;0,49;5;0;0;;;
3;0,025;R9;0,51;4;0;0;;;
4;0,025;R9;Morta;4;0;0;;;
5;0,025;R9;Morta;0;0;0;;;
6;0,025;R9;Morta;0;0;0;;;
7;0,025;R9;Morta;5;0;0;;;
8;0,025;R9;Morta;5;0;0;;;
0;0,025;R10;0,33;0;0;0;;;
1;0,025;R10;0,42;7;0;0;;;
2;0,025;R10;0,49;5;0;0;;;
3;0,025;R10;0,57;6;2;2;;;
4;0,025;R10;0,57;4;0;2;;;
5;0,025;R10;0,61;7;5;7;;;
6;0,025;R10;0,61;3;0;7;;;
7;0,025;R10;0,64;0;5;12;;;
8;0,025;R10;0,66;5;0;12;;;
0;0,05;R1;0,31;0;0;0;;;
1;0,05;R1;0,39;0;0;0;;;
2;0,05;R1;0,51;0;0;0;;;
3;0,05;R1;0,55;0;2;2;;;
4;0,05;R1;0,55;0;0;2;;;
5;0,05;R1;0,63;0;5;7;;;
6;0,05;R1;0,64;0;0;7;;;
7;0,05;R1;0,67;0;5;12;;;
8;0,05;R1;0,69;0;0;12;;;
0;0,05;R2;0,34;0;0;0;;;
1;0,05;R2;0,42;0;0;0;;;
2;0,05;R2;0,48;0;0;0;;;
3;0,05;R2;0,51;0;0;0;;;
4;0,05;R2;0,57;0;2;2;;;
5;0,05;R2;0,66;0;4;6;;;
6;0,05;R2;0,66;0;0;6;;;
7;0,05;R2;0,67;0;5;11;;;
8;0,05;R2;0,67;0;0;11;;;
0;0,05;R3;0,37;0;0;0;;;
1;0,05;R3;0,45;0;0;0;;;
2;0,05;R3;0,46;0;0;0;;;
