Dia;Tratamento;Repeti‡Æo;Numero_neonatos;Numero_neonatos_somados;Numero_ovos;Numeros_ovos_somados;Comprimento
4;0,01;R10;4;4;7;11;0,67
5;0,01;R10;0;4;7;18;0,56
6;0,01;R10;7;11;5;23;0,7
7;0,01;R10;0;11;0;23;0,7
8;0,01;R10;5;16;0;23;0,7
0;0,02;R1;0;0;0;0;0,34
1;0,02;R1;0;0;0;0;0,45
2;0,02;R1;0;0;0;0;0,55
3;0,02;R1;0;0;0;0;Morta
4;0,02;R1;0;0;0;0;Morta
5;0,02;R1;0;0;0;0;Morta
6;0,02;R1;0;0;0;0;Morta
7;0,02;R1;0;0;0;0;Morta
8;0,02;R1;0;0;0;0;Morta
0;0,02;R2;0;0;0;0;0,31
1;0,02;R2;0;0;0;0;0,4
2;0,02;R2;0;0;0;0;0,51
3;0,02;R2;0;0;3;3;0,58
4;0,02;R2;0;0;0;3;0,58
5;0,02;R2;3;3;5;8;0,63
6;0,02;R2;0;3;0;8;0,64
7;0,02;R2;5;8;6;14;0,64
8;0,02;R2;0;8;0;14;0,67
0;0,02;R3;0;0;0;0;0,33
1;0,02;R3;0;0;0;0;0,42
2;0,02;R3;0;0;0;0;0,48
3;0,02;R3;0;0;3;3;0,55
4;0,02;R3;0;0;0;3;0,55
5;0,02;R3;3;3;5;8;0,6
6;0,02;R3;0;3;0;8;0,6
7;0,02;R3;5;8;6;14;0,63
8;0,02;R3;0;8;0;14;0,67
0;0,02;R4;0;0;0;0;0,31
1;0,02;R4;0;0;0;0;0,4
2;0,02;R4;0;0;0;0;0,51
3;0,02;R4;0;0;3;3;0,57
4;0,02;R4;0;0;0;3;0,57
5;0,02;R4;3;3;5;8;0,63
6;0,02;R4;5;8;8;16;0,66
7;0,02;R4;0;8;0;16;0,66
8;0,02;R4;8;16;0;16;0,67
0;0,02;R5;0;0;0;0;0,33
1;0,02;R5;0;0;0;0;0,4
2;0,02;R5;0;0;0;0;0,51
3;0,02;R5;0;0;3;3;0,58
4;0,02;R5;0;0;0;3;0,58
5;0,02;R5;3;3;5;8;0,63
6;0,02;R5;0;3;0;8;0,63
7;0,02;R5;0;3;0;8;0,67
8;0,02;R5;0;3;2;10;0,67
0;0,02;R6;0;0;0;0;0,33
1;0,02;R6;0;0;0;0;0,4
2;0,02;R6;0;0;0;0;0,49
3;0,02;R6;0;0;3;3;0,6
4;0,02;R6;0;0;0;3;0,6
5;0,02;R6;3;3;5;8;0,66
6;0,02;R6;5;8;8;16;0,67
7;0,02;R6;0;8;0;16;0,67
8;0,02;R6;7;15;0;16;0,67
0;0,02;R7;0;0;0;0;0,34
1;0,02;R7;0;0;0;0;0,42
2;0,02;R7;0;0;0;0;0,52
3;0,02;R7;0;0;4;4;0,61
4;0,02;R7;0;0;0;4;0,6
5;0,02;R7;3;3;6;10;0,66
6;0,02;R7;6;9;7;17;0,66
7;0,02;R7;0;9;0;17;0,69
8;0,02;R7;6;15;0;17;0,69
0;0,02;R8;0;0;0;0;0,34
1;0,02;R8;0;0;0;0;0,42
2;0,02;R8;0;0;0;0;0,52
3;0,02;R8;0;0;4;4;0,6
4;0,02;R8;0;0;0;4;0,6
5;0,02;R8;4;4;6;10;0,66
6;0,02;R8;0;4;0;10;0,66
7;0,02;R8;0;4;0;10;0,66
8;0,02;R8;0;4;0;10;0,69
0;0,02;R9;0;0;0;0;0,34
1;0,02;R9;0;0;0;0;0,4
2;0,02;R9;0;0;0;0;0,52
3;0,02;R9;0;0;4;4;0,61
4;0,02;R9;0;0;0;4;0,61
5;0,02;R9;4;4;5;9;0,67
6;0,02;R9;0;4;0;9;0,67
7;0,02;R9;0;4;0;9;0,67
8;0,02;R9;0;4;0;9;0,68
0;0,02;R10;0;0;0;0;0,33
1;0,02;R10;0;0;0;0;0,4
2;0,02;R10;0;0;0;0;0,52
3;0,02;R10;0;0;4;4;0,6
4;0,02;R10;0;0;0;4;0,6
5;0,02;R10;4;4;5;9;0,66
6;0,02;R10;0;4;0;9;0,67
7;0,02;R10;5;9;6;15;0,67
8;0,02;R10;0;9;0;15;0,69
0;0,04;R1;0;0;0;0;0,31
1;0,04;R1;0;0;0;0;0,42
2;0,04;R1;0;0;0;0;0,52
3;0,04;R1;0;0;4;4;0,6
4;0,04;R1;4;4;0;4;0,6
5;0,04;R1;0;4;6;10;0,66
6;0,04;R1;6;10;0;10;0,67
7;0,04;R1;0;10;0;10;0,67
8;0,04;R1;0;10;0;10;0,69
0;0,04;R2;0;0;0;0;0,34
1;0,04;R2;0;0;0;0;0,42
2;0,04;R2;0;0;0;0;0,54
